Pipe_Size_mm,Thickness_mm,Material,Grade,Max_Pressure_psi,Temperature_C,Corrosion_Impact_Percent,Thickness_Loss_mm,Material_Loss_Percent,Time_Years,Condition,Remaining_Thickness_mm,Loss_Per_Year_mm,Estimated_Longevity_Years,cost
800,15.48,Carbon Steel,ASTM A333 Grade 6,300,84.9,16.04,4.91,31.72,2,Moderate,10.57,2.455,4.305498981670061,4079
800,22.0,PVC,ASTM A106 Grade B,150,14.1,7.38,7.32,33.27,4,Critical,14.68,1.83,8.021857923497267,2761
400,12.05,Carbon Steel,API 5L X52,2500,0.6,2.12,6.32,52.45,7,Critical,5.73,0.9028571428571429,6.3465189873417724,2413
1500,38.72,Carbon Steel,API 5L X42,1500,52.7,5.58,6.2,16.01,19,Critical,32.519999999999996,0.3263157894736842,99.65806451612902,4265
1500,24.32,HDPE,API 5L X65,1500,11.7,12.29,8.58,35.28,20,Critical,15.74,0.429,36.68997668997669,3165
600,16.75,Fiberglass,API 5L X52,600,67.3,2.06,5.21,31.1,11,Critical,11.54,0.47363636363636363,24.364683301343568,2919
200,9.94,Carbon Steel,ASTM A106 Grade B,1500,89.6,1.34,5.86,58.95,6,Critical,4.079999999999999,0.9766666666666667,4.1774744027303745,2377
300,13.87,Carbon Steel,ASTM A106 Grade B,900,40.8,5.57,3.02,21.77,21,Moderate,10.85,0.1438095238095238,75.44701986754967,3765
150,8.86,Fiberglass,API 5L X65,300,3.2,13.84,2.47,27.88,19,Moderate,6.389999999999999,0.13,49.153846153846146,3190
800,25.78,Stainless Steel,ASTM A333 Grade 6,150,11.6,18.68,0.53,2.06,1,Normal,25.25,0.53,47.64150943396226,4028
300,11.52,Stainless Steel,ASTM A333 Grade 6,900,100.4,12.23,8.8,76.39,13,Critical,2.719999999999999,0.676923076923077,4.018181818181816,2939
1000,20.58,PVC,API 5L X65,900,67.5,14.33,7.32,35.57,6,Critical,13.259999999999998,1.22,10.868852459016392,4126
300,13.03,Stainless Steel,ASTM A106 Grade B,600,9.7,14.93,0.85,6.52,6,Normal,12.18,0.14166666666666666,85.9764705882353,3688
150,5.19,HDPE,ASTM A333 Grade 6,300,43.6,16.02,6.12,117.92,13,Critical,-0.9299999999999997,0.4707692307692308,-1.9754901960784308,2407
300,15.48,Carbon Steel,API 5L X42,600,63.4,13.65,9.21,59.5,7,Critical,6.27,1.3157142857142858,4.765472312703582,4251
100,6.0,Fiberglass,API 5L X65,1500,60.1,18.79,7.01,116.83,21,Critical,-1.0099999999999998,0.3338095238095238,-3.0256776034236803,4032
600,10.56,Stainless Steel,ASTM A106 Grade B,1500,145.1,11.2,1.61,15.25,8,Normal,8.950000000000001,0.20125,44.47204968944099,3677
300,10.87,PVC,ASTM A333 Grade 6,900,63.9,10.99,0.04,0.37,18,Normal,10.83,0.0022222222222222222,4873.5,3693
100,7.21,PVC,ASTM A106 Grade B,600,13.6,4.51,3.16,43.83,22,Moderate,4.05,0.14363636363636365,28.196202531645568,2824
100,5.49,Carbon Steel,API 5L X42,900,52.6,16.25,4.23,77.05,13,Moderate,1.2599999999999998,0.32538461538461544,3.8723404255319136,3381
300,11.14,Stainless Steel,ASTM A106 Grade B,900,33.0,16.23,9.67,86.8,24,Critical,1.4700000000000006,0.40291666666666665,3.6483971044467443,2961
100,5.68,Carbon Steel,ASTM A106 Grade B,1500,45.3,12.17,7.59,133.63,10,Critical,-1.9100000000000001,0.759,-2.516469038208169,3317
1000,32.89,Stainless Steel,ASTM A333 Grade 6,600,56.9,4.01,0.84,2.55,7,Normal,32.05,0.12,267.0833333333333,4017
250,12.89,Carbon Steel,ASTM A106 Grade B,300,145.6,2.45,4.19,32.51,16,Moderate,8.7,0.261875,33.22195704057279,4404
1000,32.87,Stainless Steel,ASTM A333 Grade 6,600,21.6,17.26,8.39,25.52,3,Critical,24.479999999999997,2.796666666666667,8.753277711561381,3159
1500,28.73,HDPE,ASTM A106 Grade B,300,117.3,4.55,1.97,6.86,12,Normal,26.76,0.16416666666666666,163.005076142132,3957
100,4.62,HDPE,API 5L X42,1500,52.5,16.62,1.79,38.74,3,Normal,2.83,0.5966666666666667,4.743016759776537,4868
150,6.81,Fiberglass,API 5L X65,1500,62.4,16.1,5.52,81.06,4,Critical,1.29,1.38,0.9347826086956522,3575
1500,30.19,Stainless Steel,ASTM A106 Grade B,150,109.0,13.0,0.22,0.73,14,Normal,29.970000000000002,0.015714285714285715,1907.1818181818182,3333
1000,24.79,HDPE,ASTM A333 Grade 6,1500,4.7,4.65,4.76,19.2,17,Moderate,20.03,0.27999999999999997,71.53571428571429,2357
250,7.16,HDPE,API 5L X42,2500,-23.1,10.24,4.96,69.27,14,Moderate,2.2,0.35428571428571426,6.20967741935484,2038
150,5.97,PVC,ASTM A106 Grade B,150,35.4,14.28,0.2,3.35,24,Normal,5.77,0.008333333333333333,692.4,3133
250,13.7,Carbon Steel,API 5L X65,2500,18.3,0.28,5.94,43.36,13,Critical,7.759999999999999,0.45692307692307693,16.98316498316498,2708
300,9.65,Carbon Steel,API 5L X42,900,58.2,16.16,5.04,52.23,19,Critical,4.61,0.26526315789473687,17.378968253968253,3086
50,4.55,PVC,ASTM A333 Grade 6,600,51.7,14.89,8.91,195.82,1,Critical,-4.36,8.91,-0.48933782267115605,4268
50,4.05,PVC,ASTM A333 Grade 6,150,63.0,16.94,9.53,235.31,1,Critical,-5.4799999999999995,9.53,-0.5750262329485835,3869
50,4.11,Fiberglass,API 5L X65,150,44.5,7.24,3.39,82.48,15,Moderate,0.7200000000000002,0.226,3.1858407079646027,3299
150,8.15,PVC,ASTM A106 Grade B,150,-23.9,2.62,0.2,2.45,5,Normal,7.95,0.04,198.75,4736
1000,17.26,Fiberglass,ASTM A333 Grade 6,1500,-8.0,1.79,5.56,32.21,9,Critical,11.700000000000003,0.6177777777777778,18.938848920863315,3792
250,7.17,Fiberglass,ASTM A333 Grade 6,150,84.7,16.86,2.91,40.59,14,Moderate,4.26,0.20785714285714288,20.49484536082474,3582
1200,24.53,Fiberglass,ASTM A333 Grade 6,600,62.4,16.22,4.93,20.1,10,Moderate,19.6,0.493,39.75659229208925,2043
600,17.32,Carbon Steel,API 5L X65,150,59.8,0.84,7.74,44.69,1,Critical,9.58,7.74,1.2377260981912144,2966
1000,30.64,Carbon Steel,ASTM A106 Grade B,2500,148.7,3.25,1.06,3.46,11,Normal,29.580000000000002,0.09636363636363637,306.9622641509434,4333
100,5.96,Stainless Steel,ASTM A106 Grade B,150,116.7,2.42,0.45,7.55,23,Normal,5.51,0.01956521739130435,281.6222222222222,3241
400,12.67,Carbon Steel,API 5L X42,150,0.1,17.04,0.37,2.92,5,Normal,12.3,0.074,166.21621621621622,4091
800,21.57,Carbon Steel,ASTM A333 Grade 6,150,-4.3,10.97,6.17,28.6,9,Critical,15.4,0.6855555555555556,22.46353322528363,2458
50,3.6,Fiberglass,API 5L X42,2500,20.2,15.29,7.69,213.61,2,Critical,-4.09,3.845,-1.0637191157347203,3018
1500,21.15,PVC,API 5L X65,600,109.7,18.84,0.93,4.4,1,Normal,20.22,0.93,21.741935483870964,2526
800,29.98,PVC,API 5L X52,1500,9.8,14.24,1.84,6.14,5,Normal,28.14,0.368,76.46739130434783,2603
800,28.85,Stainless Steel,API 5L X65,2500,57.3,6.62,9.51,32.96,19,Critical,19.340000000000003,0.5005263157894737,38.63932702418507,2934
600,12.82,HDPE,ASTM A333 Grade 6,300,54.9,2.95,9.19,71.68,15,Critical,3.630000000000001,0.6126666666666666,5.924918389553865,3275
150,6.12,Carbon Steel,API 5L X52,1500,42.6,12.29,6.31,103.1,17,Critical,-0.1899999999999995,0.3711764705882353,-0.5118858954041191,4119
1500,34.37,Carbon Steel,API 5L X42,900,64.9,17.54,0.83,2.41,25,Normal,33.54,0.0332,1010.2409638554217,3803
100,6.71,Fiberglass,API 5L X65,300,28.6,12.61,0.59,8.79,19,Normal,6.12,0.031052631578947366,197.0847457627119,4559
800,18.86,Fiberglass,API 5L X42,900,16.9,12.16,3.96,21.0,11,Moderate,14.899999999999999,0.36,41.388888888888886,3308
250,12.79,Fiberglass,ASTM A106 Grade B,2500,16.8,18.35,0.02,0.16,21,Normal,12.77,0.0009523809523809524,13408.5,2266
1200,24.48,HDPE,ASTM A333 Grade 6,900,30.8,4.34,6.35,25.94,1,Critical,18.130000000000003,6.35,2.855118110236221,4201
50,5.73,HDPE,ASTM A333 Grade 6,1500,136.8,16.74,3.89,67.89,4,Moderate,1.8400000000000003,0.9725,1.892030848329049,4588
600,28.18,Carbon Steel,API 5L X52,1500,-28.3,0.69,1.67,5.93,1,Normal,26.509999999999998,1.67,15.874251497005988,4759
1500,36.91,PVC,API 5L X65,2500,77.7,18.28,9.53,25.82,9,Critical,27.379999999999995,1.0588888888888888,25.85729275970619,2486
